Sample ID,Subplot,Coreplot,Location,Fertilizer ,Weeding,Fertilizer weeding,Sampling_date,Template,Shannon index,N,C,pH,Na,K,Ca,Mg,Mn,Fe,Al,S,P
d_OM1cha,OM1cha,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.64,0.08,1.1,4.92,-0.004,0.013,0.168,0.104,0.012,3.427,22.514,0.063,0.059
d_OM1chb,OM1chb,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.61,0.08,1.04,4.76,0.017,0.031,0.354,0.136,0.014,3.874,28.845,0.068,0.169
d_OM1chc,OM1chc,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.78,0.08,0.96,5.17,-0.005,0.013,0.555,0.087,0.018,2.158,15.19,0.07,0.224
d_OM1chd,OM1chd,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.71,0.07,0.84,4.91,0.005,0.017,0.204,0.131,0.015,3.981,28.822,0.078,0.095
d_OM1che,OM1che,OM1ch,OM1,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.36,0.06,0.96,4.86,0.003,0.012,0.244,0.116,0.013,3.839,26.87,0.064,0.077
d_OM1cwa,OM1cwa,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.69,0.07,0.96,5.25,0.104,0.03,0.121,0.12,0.017,4.536,27.381,0.073,0.051
d_OM1cwb,OM1cwb,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.9,0.06,0.7,4.95,-0.009,0.009,0.223,0.101,0.012,3.418,20.537,0.056,0.056
d_OM1cwc,OM1cwc,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.57,0.07,0.74,5.17,-0.008,0.014,0.232,0.125,0.013,3.038,19.388,0.059,0.069
d_OM1cwd,OM1cwd,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.4,0.12,1.85,4.89,0.011,0.022,0.195,0.143,0.017,4.474,31.181,0.102,0.068
d_OM1cwe,OM1cwe,OM1cw,OM1,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.8,0.06,0.78,5.51,0,0.01,0.297,0.111,0.016,3.1,19.249,0.057,0.072
d_OM1rha,OM1rha,OM1rh,OM1,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,8.01,0.09,1.03,5.95,0.01,0.022,0.757,0.302,0.022,4.091,24.907,0.08,0.305
d_OM1rhb,OM1rhb,OM1rh,OM1,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.95,0.06,0.73,5.43,-0.02,0.006,0.201,0.188,0.017,2.867,15.838,0.049,0.064
d_OM1rhc,OM1rhc,OM1rh,OM1,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.59,0.05,0.66,8.83,0.471,-0.007,0.72,0.275,0.017,2.225,13.331,0.054,0.202
d_OM1rhd,OM1rhd,OM1rh,OM1,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.02,0.06,0.84,5.46,0.005,0.006,0.181,0.125,0.016,4.723,28.054,0.064,0.042
d_OM1rhe,OM1rhe,OM1rh,OM1,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.92,0.05,0.62,5.71,-0.02,-0.008,0.26,0.243,0.014,2.382,12.926,0.041,0.05
d_OM1rwa,OM1rwa,OM1rw,OM1,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.98,0.08,1.04,5.95,0.014,0.019,2.23,0.201,0.025,3.094,18.483,0.067,1.258
d_OM1rwb,OM1rwb,OM1rw,OM1,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,8.11,0.17,2.34,5.56,0.053,0.038,0.539,0.329,0.02,4.98,30.469,0.157,0.12
d_OM1rwc,OM1rwc,OM1rw,OM1,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.76,0.06,0.98,6.24,0.63,0.024,0.32,0.254,0.016,4.586,27.898,0.064,0.117
d_OM1rwd,OM1rwd,OM1rw,OM1,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.99,0.07,1,6.68,0.23,0.017,0.655,0.285,0.018,2.841,16.741,0.067,0.123
d_OM1rwe,OM1rwe,OM1rw,OM1,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.94,0.09,1.24,5.67,0.008,0.015,0.448,0.301,0.015,3.677,21.942,0.081,0.116
d_OM2cha,OM2cha,OM2ch,OM2,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.7,0.2,2.97,5.25,0.735,0.044,0.621,0.192,0.03,5.074,30.313,0.224,0.171
d_OM2chb,OM2chb,OM2ch,OM2,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.92,0.07,1.02,5.84,0.018,0.002,0.49,0.289,0.021,5.091,23.61,0.078,0.161
d_OM2chc,OM2chc,OM2ch,OM2,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.49,0.07,0.98,5,0.024,0.018,0.132,0.198,0.017,6.853,39.537,0.093,0.073
d_OM2chd,OM2chd,OM2ch,OM2,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.6,0.11,1.23,5.08,0.119,0.023,0.194,0.152,0.017,5.285,31.767,0.129,0.109
d_OM2che,OM2che,OM2ch,OM2,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,8.13,0.15,2.18,5.8,0.014,0.01,1.036,0.286,0.023,4.635,27.49,0.163,0.262
d_OM2cwa,OM2cwa,OM2cw,OM2,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.83,0.12,1.61,5.18,0.03,0.025,0.346,0.149,0.023,4.768,25.636,0.121,0.107
d_OM2cwb,OM2cwb,OM2cw,OM2,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.82,0.04,0.63,5.83,0.627,-0.016,0.168,0.097,0.012,3.075,15.466,0.043,0.088
d_OM2cwc,OM2cwc,OM2cw,OM2,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.95,0.1,1.4,6.08,-0.01,-0.002,0.615,0.285,0.022,3.834,19.934,0.097,0.175
d_OM2cwd,OM2cwd,OM2cw,OM2,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.91,0.22,2.91,5.2,0.024,0.025,0.401,0.236,0.021,5.308,30.431,0.196,0.212
d_OM2cwe,OM2cwe,OM2cw,OM2,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.99,0.09,1.48,5.96,0.011,0.024,1.435,0.505,0.026,4.824,26.591,0.123,0.596
d_OM2rha,OM2rha,OM2rh,OM2,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,8.22,0.05,0.54,5.76,0.017,0.018,0.849,0.137,0.01,2.522,13.175,0.049,0.288
d_OM2rhb,OM2rhb,OM2rh,OM2,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.99,0.07,0.81,5.57,0.074,0.059,0.38,0.238,0.02,4.063,23.764,0.064,0.093
d_OM2rhc,OM2rhc,OM2rh,OM2,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.58,0.1,1.37,4.79,0.15,0.075,0.275,0.194,0.018,5.008,30.866,0.114,0.08
d_OM2rhd,OM2rhd,OM2rh,OM2,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.77,0.14,1.79,5.2,0.173,0.079,0.576,0.445,0.021,5.692,33.076,0.16,0.16
d_OM2rhe,OM2rhe,OM2rh,OM2,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.38,0.08,0.98,4.83,0.019,0.028,0.334,0.229,0.017,6.289,31.528,0.091,0.102
d_OM2rwa,OM2rwa,OM2rw,OM2,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.64,0.08,1.07,5.07,-0.001,0.025,0.22,0.126,0.016,3.571,20.511,0.084,0.103
d_OM2rwb,OM2rwb,OM2rw,OM2,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,8.15,0.32,4.57,5.59,0.046,0.084,1.663,0.468,0.048,5.847,37.847,0.311,0.404
d_OM2rwc,OM2rwc,OM2rw,OM2,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.72,0.09,1.24,5.27,0.188,0.056,0.19,0.168,0.016,4.375,26.721,0.093,0.096
d_OM2rwd,OM2rwd,OM2rw,OM2,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.71,0.08,1.09,4.77,0.011,0.039,0.176,0.167,0.015,4.163,25.328,0.093,0.084
d_OM2rwe,OM2rwe,OM2rw,OM2,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.84,0.06,0.81,5.12,-0.009,-0.016,0.231,0.096,0.013,3.1,15.239,0.072,0.108
d_OM3cha,OM3cha,OM3ch,OM3,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.92,0.07,0.83,6.17,-0.003,-0.003,1.02,0.204,0.014,3.061,12.542,0.07,0.552
d_OM3chb,OM3chb,OM3ch,OM3,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.8,0.08,1.2,5.11,0.014,0.013,0.322,0.188,0.016,5.081,21.792,0.084,0.214
d_OM3chc,OM3chc,OM3ch,OM3,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.72,0.31,4.81,4.98,0.01,0.013,1.294,0.384,0.032,5.98,24.509,0.293,0.345
d_OM3chd,OM3chd,OM3ch,OM3,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.96,0.14,2.02,5.11,0.007,0.011,0.455,0.237,0.017,6.337,25.44,0.136,0.299
d_OM3che,OM3che,OM3ch,OM3,conventional,herbicide,conventional_herbicide,13.05.2017,DNA,7.39,0.06,0.94,4.63,-0.007,0.002,0.179,0.127,0.014,7.393,28.664,0.085,0.098
d_OM3cwa,OM3cwa,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.29,0.14,1.66,4.65,-0.005,-0.007,0.151,0.126,0.023,5.296,25.769,0.141,0.163
d_OM3cwb,OM3cwb,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.73,0.05,0.67,5.18,0.065,-0.009,0.22,0.13,0.012,5.019,25.767,0.06,0.301
d_OM3cwc,OM3cwc,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.76,0.07,0.94,5.21,-0.005,-0.01,0.361,0.181,0.014,5.131,25.592,0.083,0.2
d_OM3cwd,OM3cwd,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.69,0.11,1.38,4.83,-0.004,-0.003,0.363,0.158,0.014,5.893,28.761,0.126,0.269
d_OM3cwe,OM3cwe,OM3cw,OM3,conventional,mechanical,conventional_mechanical,13.05.2017,DNA,7.66,0.12,1.61,4.76,0.018,0.017,0.349,0.191,0.014,6.608,31.564,0.131,0.151
d_OM3rha,OM3rha,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.94,0.07,0.99,5.01,0.007,0.016,0.226,0.193,0.018,6.83,26.604,0.077,0.113
d_OM3rhb,OM3rhb,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.66,0.13,1.97,4.62,0.102,0.032,0.216,0.232,0.018,8.044,30.875,0.146,0.114
d_OM3rhc,OM3rhc,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.32,0.08,1.24,4.59,0.079,0.031,0.016,0.208,0.017,9.164,37.484,0.103,0.072
d_OM3rhd,OM3rhd,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.3,0.08,1.18,4.46,0.022,0.023,0.022,0.149,0.016,8.006,32.805,0.1,0.227
d_OM3rhe,OM3rhe,OM3rh,OM3,reduced,herbicide,reduced_herbicide,13.05.2017,DNA,7.67,0.24,3.36,5.04,0.52,0.026,0.477,0.176,0.022,7.405,30.545,0.256,0.252
d_OM3rwa,OM3rwa,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.5,0.13,1.87,4.48,0.024,0.016,0.327,0.124,0.012,6.329,31.792,0.134,0.552
d_OM3rwb,OM3rwb,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.7,0.13,1.84,5.16,0.085,0.01,1.065,0.185,0.016,6.071,31.971,0.158,0.613
d_OM3rwc,OM3rwc,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.58,0.11,1.51,5.83,-0.011,-0.009,0.914,0.356,0.021,5.247,25.996,0.105,0.356
d_OM3rwd,OM3rwd,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.59,0.13,1.47,4.94,0.004,0.001,0.738,0.128,0.016,4.925,25.787,0.12,0.882
d_OM3rwe,OM3rwe,OM3rw,OM3,reduced,mechanical,reduced_mechanical,13.05.2017,DNA,7.72,0.14,1.91,5.78,0.002,-0.01,0.763,0.194,0.015,3.342,18.057,0.089,0.281
d_OM4cha,OM4cha,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,8,0.11,1.74,6.37,0.017,0.132,5.018,0.57,0.023,2.875,17.792,0.123,0.663
d_OM4chb,OM4chb,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.85,0.09,1.29,5.56,0.026,0.091,0.318,0.232,0.016,3.955,25.223,0.088,0.122
d_OM4chc,OM4chc,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.17,0.11,1.47,5.09,0.023,0.05,0.056,0.121,0.02,4.499,24.611,0.123,0.107
d_OM4chd,OM4chd,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,7.7,0.07,0.94,5.88,0.026,0.168,0.673,0.21,0.023,3.385,16.455,0.08,0.442
d_OM4che,OM4che,OM4ch,OM4,conventional,herbicide,conventional_herbicide,12.05.2017,DNA,8.08,0.05,0.7,5.77,0.005,0.034,0.328,0.129,0.016,3.456,15.941,0.061,0.168
d_OM4cwa,OM4cwa,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,8.14,0.11,1.45,5.35,0.138,0.076,0.503,0.208,0.019,4.624,23.915,0.123,0.215
d_OM4cwb,OM4cwb,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.45,0.07,0.87,4.66,0.043,0.125,0.053,0.215,0.025,5.773,32.594,0.072,0.054
d_OM4cwc,OM4cwc,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.93,0.08,1.12,5.54,0.636,92,0.365,0.359,0.019,4.785,25.808,0.086,0.117
d_OM4cwd,OM4cwd,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,7.67,0.1,1.31,4.69,0.068,0.088,0.173,0.191,0.021,5.375,28.278,0.112,0.103
d_OM4cwe,OM4cwe,OM4cw,OM4,conventional,mechanical,conventional_mechanical,12.05.2017,DNA,8.03,0.05,0.74,6.56,0.105,0.027,1.224,0.406,0.024,3.576,18.779,0.072,0.391
d_OM4rha,OM4rha,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.76,0.14,1.83,4.5,0.028,0.076,0.178,0.214,0.016,6.526,21.252,0.14,0.115
d_OM4rhb,OM4rhb,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,8.11,0.13,1.62,5.52,0.033,0.066,0.506,0.291,0.031,6.729,21.376,0.123,0.124
d_OM4rhc,OM4rhc,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.33,0.07,0.92,4.83,-0.004,0.035,0.135,0.157,0.019,5.295,17.239,0.085,0.09
d_OM4rhd,OM4rhd,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.38,0.07,1.16,5.31,0.008,54,0.356,0.294,0.018,6.851,23.607,0.074,0.071
d_OM4rhe,OM4rhe,OM4rh,OM4,reduced,herbicide,reduced_herbicide,12.05.2017,DNA,7.72,0.06,0.71,5.4,-0.003,0.045,0.197,0.18,0.036,5.497,14.016,0.054,0.092
d_OM4rwa,OM4rwa,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,8.02,0.19,2.97,6.39,0.04,0.121,2.22,0.789,0.044,3.926,23.767,0.203,0.386
d_OM4rwb,OM4rwb,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.42,0.06,0.84,4.9,0.057,0.149,0.115,0.182,0.018,4.078,23.545,0.061,0.074
d_OM4rwc,OM4rwc,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.91,0.07,0.9,4.51,0.016,0.106,0.091,0.136,0.023,3.176,18.947,0.077,0.101
d_OM4rwd,OM4rwd,OM4rw,OM4,reduced,mechanical,reduced_mechanical,12.05.2017,DNA,7.94,0.11,1.79,4.7,0.023,0.122,0.18,0.191,0.022,3.643,23.147,0.107,0.098
